tweet_asli,tweet_after_prepros,sentiment
   dikit-dikit ngatain tolol terus nyebut gue fomo.. waktu timnas indonesia main di piala tiger 2004 lu udh nonton timnas belum cok!,dikitdikit katai tolol nyebut fomo timnas indonesia main piala tiger 2004 tonton timnas cok,Negatif
  harus sih. tapi nanti ultras seblak bilang kok si a udah ga update exclusive lagi ya. apa nyesel masuk timnas ya karena kalah mulu,sih ultras seblak bilang sih a update exclusive iya sesal masuk timnas iya kalah melulu,Negatif
  di asia kecuali di negara yg kamu sebut pejabat kalau gk ada prestasi jangka pendeknya itu dianggap gk bisa kerja. makanya setiap kepengurusan pssi ganti pasti yg jadi fokusnya hanya prestasi timnas.,asia kecuali negara jabat prestasi jangka pendek anggap kerja urus pssi ganti fokus prestasi timnas,Positif
 jika di'track dna pun kita kalah jauh. tahun 1903 jepang yang baru memulai modernisasi bisa menang saat perang lawan rusia. scr mental pun jepang juaranya thn 1942 berani mnyerang amerika di pearl harbour. utk indonesia cukup sabar dulu tp smg laga home timnas bisa babat habis,ditrack dna kalah 1903 jepang modernisasi menang perang lawan rusia mental jepang juara 1942 berani mnyerang amerika pearl harbour indonesia sabar moga laga home timnas babat habis,Netral
eliano reijnders lagi-lagi tak masuk skuad timnas indonesia ini penjelasan shin tae-yong https://t.co/68fsuh4gu0,eliano reijnders lagilagi masuk skuad timnas indonesia jelas shin taeyong,Negatif
 sebenernya lapangan berpengaruh komunikasi tekanan supporter timnas jepang ngga normal dan yang terakhir ekpektasi kita terlalu tinggi.,lapang pengaruh komunikasi tekan supporter timnas jepang normal ekpektasi,Positif
 yg salah ekspektasi support fomo timnas. mending nikmati pertandingan dari segi pertandingan bagus dan menjanjikan utk perkembangan timnas. tetap semangat timnas ku.,salah ekspektasi support fomo timnas nikmat tanding segi tanding bagus janji kembang timnas semangat timnas ku,Positif
 #jersey4sale #163 wts jersey jerman 14 2xl fit mint aka brazil killer timnas indo away erspo 24 3xl bnwt arsenal third 24 aka ijo bottle navy price 1000k/pcs wa 081280166852 https://t.co/40saq9gpi1,wts jersey jerman 14 2xl fit mint kenal brazil killer timnas indonesia away erspo 24 3xl bnwt arsenal third 24 kenal ijo bottle navy price 1000kpcs wa 081280166852,Positif
  kalau mau masuk pildun mah cukup pakai cara naturalisasi pemain2 grade a eropa ajah. ngapain capek2 punya cetak biru. si thohir noh suruh lebih giat nyari naturalisasi yg bagus grade a supaya timnas kita tambah gacor.,masuk pildun mah pakai naturalisasi pemain2 grade a eropa kapai capek2 cetak biru sih thohir noh suruh giat cari naturalisasi bagus grade a timnas gacor,Negatif
 timnas kita sudah merupakan team yg pantas untuk diajak tanding. bilang nga apa kita kalah terhormat suatu ungkapan menghibur diri dan tentu saja sangat klasik its oke..!,timnas team ajak tanding bilang kalah hormat ungkap hibur klasik its oke,Positif
timnas indonesia dibantai jepang shin tae-yong sesalkan peluang ragnar oratmangoen tidak berbuah gol https://t.co/xsnxwm30zv,timnas indonesia bantai jepang shin taeyong sesal peluang ragnar oratmangoen buah gol,Netral
 menyimak postingan tsb masalahnya tehnik main timnas dilapangan tadi malam melawan timnas jepang cerminkan teknik pemain lokal bukan pemain andalan krn mereka hanya bertahan dan tdk mau menyerang bola sepenuhnya dikuasai jepang akibatnya 0 x 4 utuk jepang.,simak postingan tehnik main timnas lapang malam lawan timnas jepang cermin teknik main lokal main andal tahan serang bola sepenuh asai jepang akibat 0 kali 4 utuk jepang,Negatif
 yang salah itu harapan kita terlalu tinggi buat timnas yg hampir beberapa puluh tahun cm sebuah timnas lawak skg mulai disegani. semua proses musti dilalui. pahit manis harus bisa dilalui. kecewa boleh namun tetap rasional,salah harap timnas puluh timnas lawak segani proses mesti pahit manis kecewa rasional,Negatif
kevin diks akhirnya jalani debutnya bersama timnas indonesia ðÿ‡®ðÿ‡© di laga lawan jepang ðÿ‡¯ðÿ‡µ. sayang di laga debutnya ia hanya bermain selama 41 menit karena alami cedera. meski jalani debut yang kurang baik kevin diks tetap terkesan dengan timnas indonesia ðÿ‡®ðÿ‡©. setuju nggak https://t.co/ehvzeg4ndj,kevin diks jalan debut timnas indonesia laga lawan jepang sayang laga debut main 41 menit alami cedera jalan debut kevin diks kes timnas indonesia tuju,Negatif
   nah itu dia yaa jngan liat hasil klasemen persija pas di tangan dia. tapi liat progress persija yg banyak nyumbang pemain muda buat timnas ya salah satu nya berkat dia berani ngasih kepercayaan buat pemain muda. bahkan rizky ridho pun masuk ke persija karena ngeliat coach td,iya lihat hasil klasemen persija pas tangan lihat progress persija nyumbang main muda timnas iya salah iya berkat berani asih percaya main muda rizky ridho masuk persija coach,Positif
 setuju bang. masih banyak masyarakat sumbu pendek gak sabaran yg pgn liat timnas langsung lolos 2026 pdhl ya kudu realistis dongâ€ï¸,tuju abang masyarakat sumbu pendek sabar pengin lihat timnas langsung lolos 2026 iya realistis,Positif
akibat kena hype dari tajuk dahsyatnya timnas indonesia di postingan tv anu ya jadinya begitu,akibat kena hype tajuk dahsyat timnas indonesia postingan tv anu iya,Negatif
meski kalah telak dari jepang shin tae-yong tak hilang harapan bawa timnas indonesia ke piala dunia https://t.co/wl69d7ukoo,kalah telak jepang shin taeyong hilang harap bawa timnas indonesia piala dunia,Negatif
 ga ada yang salah. hanya blunder konyol yang nambah kebobolan. dan emang jepang jauh di atas timnas kualitasnya. kualitas pemain jepang rasa eropa. beda dengan kita kualitas pemain liga bri wkwkw. tapi optimis yok lawan arab saudi.,salah blunder konyol tambah bobol jepang timnas kualitas kualitas main jepang eropa beda kualitas main liga bri wkwkw optimis yuk lawan arab saudi,Positif
 gak perlu meminta maaf pak...kami bangga dgn permainan timnas walau kalah tp sdh membuat timnas jepang kerepotan menangkal serangan timnas dan tdk adanya faktor luck saja yg mengiringi permainan timnas pada pertandingan semalam.,maaf pakkami bangga main timnas kalah timnas jepang kerepot tangkal serang timnas faktor luck iring main timnas tanding malam,Negatif
   memang kelas papan bawah. lu liat aja pemain timnas yg reguler siapa? mess diks paes idzes &amp; haye. semuanya di tim medioker kecuali mess &amp; diks. sisanya? main 10 menit aja sulit. paling verdonk doang yg masih bisa nglawan. memang udah pasti kalah minimal 3-0 vs jepang.,kelas papan lihat main timnas reguler mess diks paes idzes amp haye tim medioker kecuali mess amp diks sisa main 10 menit sulit verdonk doang nglawan kalah minimal 30 vs jepang,Negatif
jepang hajar timnas indonesia 4-0 hajime moriyasu akui suporter bikin samurai biru tertekan https://t.co/cxuwbzvrec,jepang hajar timnas indonesia 40 hajime moriyasu aku suporter bikin samurai biru tekan,Netral
 info kalu udah jadi timnas mas mau tes skill hujat ku,informasi timnas mas tes skill hujat ku,Negatif
disuruh nabung sama ibuk buat nonton timnas di gbk yg vip giliran menabung buat konser kenapa tdk boleh?,suruh nabung ibuk tonton timnas gbk vip gilir tabung konser,Negatif
 masa iya bang timnas mau dijdiin bahan lawakan kaya mu lagi dri pd eth lebih bagus jg rvn,iya abang timnas dijdiin bahan lawa kayak mu eth bagus rvn,Negatif
    minimal minimal halah tai kucing. coba sebutin tim mana yang performanya paling stabil dan konsisten diatas daripada timnas inggris selama 5 tahun terakhir. palingan ya prancis itupun 2 tahun terakhir dah underperform,minimal minimal halah kotor kucing coba sebutin tim performa stabil konsisten atas timnas inggris 5 paling iya prancis itu 2 underperform,Negatif
kalau jumpa fans mah emang dari dulu udah ada kocak esensinya ya buat berterima kasih secara langsung lah biar ada bonding nyata yang gak melulu lewat sosial media. idzes di venezia juga selalu nyempetin buat greet dan ngobrol sama fansnya kok gak cuma di timnas doang dia begitu,jumpa fan mah kocak esensi iya terima kasih langsung biar bonding nyata melulu sosial media idzes venezia sempat greet obrol fansnya timnas doang,Positif
 pendapat ku pribadi mending marcelino di coret aja sih tuker sama eliano sejauh ini marselino tanpa kontribusi masih blm cocok main di timnas senior.,dapat ku pribadi marcelino coret sih tuker eliano marselino kontribusi cocok main timnas senior,Negatif
 percaya diri berlatih lagi suatu saat yakinlah timnas bisa mengalahkan jepang.,percaya latih yakin timnas kalah jepang,Positif
  gw liat smlm itu sebenarnya kita banyak peluang. yg harusnya goal ada 2 lbh banyak daripada lawan2 sblmnya. cuma mmg timnas butuh bgt striker. kmrn berharap hokky masuk babak kedua insting strikernya udah lumayan bagus. banyak bola crossing depan gawang yg hrsnya bs jd gol,lihat smlm peluang goal 2 lawan2 timnas butuh banget striker kemarin harap hokky masuk babak insting striker lumayan bagus bola crossing gawang gol,Netral
 gpp lah kalah yg penting naturalisasi bek aja terus terusan klw bisa dri 11 pemain di lapangan 10 nya bek semua.. aneh udh di bebaskan naturalisasi tpi malah numpukin bek.. udh jelas timnas butuh penyerang dan juga lini tengah yg lemah,apa kalah naturalisasi bek terus 11 main lapang 10 iya bek aneh bebas naturalisasi numpukin bek timnas butuh serang lini lemah,Negatif
    ngeliat timnas baru maen bagus dikit langsung mimpi maen di pildun padahal timnas timnas yang sekarang baru dibangun belum genap 2 tahun,timnas main bagus dikit langsung mimpi main pildun timnas timnas bangun genap 2,Netral
  untuk level pemain timnas mreka udh pham hrs apa pelatih cuma ngasih poin2 strategi dan taktiknya aja ke pmain ini lumrah di sepakbola ato olahraga lain jd ini bkn soal bahasa. klo soal chemistry gw stuju dan ini mslah di timnas tp klo tiap main ada aja pemain baru ya susah,level main timnas pham latih asih poin2 strategi taktik pmain lumrah sepakbola olahraga bahasa chemistry tuju mslah timnas main main iya susah,Negatif
dino iki akeh wong nesu nesu babagan ndelok timnas kalah,dino iki akeh nesu nesu babagan ndelok timnas kalah,Negatif
 udah paling bener lini tengah diks sm haye. sisi kanan biar eli malah maksain arhan si atlet lempar jauh dikiri udah banyak saingan masih aja di kasih kesempatan sampai2 taruh sisi kanan emg udah cinta mati atau emg wajib masuk timnas tuh pemain abroad yg gak pernah maen,lini diks haye sisi kanan biar eli paksa arhan sih atlet lempar kiri saing kasih sempat taruh sisi kanan cinta mati wajib masuk timnas tuh main abroad main,Negatif
   ya karna gemblengannya berhasil dan mereka sukses abroad karna kualitasnya su. makanya pemain liga 1 itu yg bagus biar bs abroad dan dilirik klub top eropa. lu susah amat nangkap sesederhana itu doang. ya jelas yg dipilih timnas adalah pemain terbaik,iya gembleng hasil sukses abroad kualitas su main liga 1 bagus biar abroad lirik klub top eropa susah nangkap sederhana doang iya pilih timnas main baik,Positif
 lah emang timnas pernah menang main 5x???,timnas menang main 5x,Netral
 sbnr nya kn target pssi ke sty cmn tmbus 100 besar ranking fifa yg jd mslh nya ekspektasi suporter yg kegedean ingat kita itu tim debutan loh dpt point aja udh untung udh gtu media trsâ²an ngegoreng seolah timnas kita itu udh selevel sma jepang kn kocak,sbnr iya target pssi sty cuman tmbus 100 ranking fifa iya ekspektasi suporter gede tim debut loh point untung media trsan ngegoreng timnas level jepang kocak,Negatif
ketum pssi erick thohir setelah timnas indonesia dikalahkan jepang: ya saya bertanggung jawab dengan prestasi yang dicapai pssi sampai hari ini. tentu pertandingan hari ini mohon maaf kalau mengecewakan hasilnya saya tahu euforia masyarakat sangat luar biasa tetapi https://t.co/ypwrj56cgg,tum pssi erick thohir timnas indonesia kalah jepang iya tanggung prestasi capai pssi tanding mohon maaf kecewa hasil euforia masyarakat,Netral
gua tanya deh pemain inti timnas indo siapa sih? kalopun ada kayanya ga banyak tuh sisanya diganti-ganti terus sama sty. bahkan pas lawan china aja beberapa yang diturunin pada kureng wkwk,deh main inti timnas indonesia sih kalo kayak tuh sisa digantiganti sty pas lawan china diturunin reng wkwk,Negatif
wong indonesia emang rung iso ngukur ya karena ga bisa berpogress kalah dr timnas jepang pada mikirnya kaya bencana padahal uda sewajarnya kalah sama jepang lagian juga bukan laga final masih ada poin2 yg lain,indonesia rung iso ngukur iya berpogress kalah timnas jepang mikirnya kayak bencana wajar kalah jepang laga final poin2,Negatif
dua laga kekalahan dirasakan timnas indonesia saat berjumpa china dan jepang. beban shin tae-yong pun semakin berat bersama timnas indonesia. https://t.co/q0a54xtd9k,laga kalah rasa timnas indonesia jumpa china jepang beban shin taeyong berat timnas indonesia,Negatif
kelebihan kekurangannya punya squad banyak maen di eropa tuh ada. jujur aja menurut gua timnas pas asian cup kemaren masuk 16 besar tuh terlalu bagus di hasil dan cara maen.,lebih kurang squad main eropa tuh jujur timnas pas asi cup kemarin masuk 16 tuh bagus hasil main,Positif
   sama china aja kalah 2-0 padahal value pemain timnas lebih tinggi aneh masih aja di sembah sembah itu mah faktor pelatih nya oon salah pilih pemain dan minim strategi,china kalah 20 value main timnas aneh sembah sembah mah faktor latih iya oon salah pilih main minim strategi,Negatif
 jaelah lawannya jepang coy. kenapa sih orang indo ga ngerti proses. kita dari yg bukan apa2 udah sampe sini udah bersyukur. kalo bukan sty siapa yg bisa bikin timnas kita sebagus ini? ga bisa lah langsung jadi bagus banget semuanya ada proses. dikira jepang latihannya gimana,jaelah lawan jepang coy sih orang indonesia erti proses apa syukur sty bikin timnas bagus langsung bagus banget proses jepang latih,Positif
 saya selalu percaya dg anda pak. progress timnas saat ini jg ada andil bapak. semua itu proses pak. kita bangga dg proses timnas saat ini.,percaya progress timnas andil proses bangga proses timnas,Positif
calvin verdonk interview after match againts japan kita harus mencetak gol ketika mendapatkan peluang. mungkin ketika bertahan kita memberi banyak ruang untuk tim lawan. sangat setuju dan semoga timnas bisa evaluasi agar lebih baik ke depannya tt/bolacom https://t.co/37astqr039,calvin verdonk interview after match againts japan cetak gol peluang tahan ruang tim lawan tuju moga timnas evaluasi depan ttbolacom,Netral
    gol kedua salah sty karena timnas hanya bermain dengan 10 pemain gk cepet2 masukin walsh buat gantiin diks yg cidera,gol salah sty timnas main 10 main cepat pasuk walsh ganti diks cidera,Netral
   kau liat argentina pemain bintang semua dan mereka butuh beberapa tahun biar jadi juara ini belum ada setahun bangun chemistry udh mintanya aneh aneh abis masuk pildun pasti kau minta masuk 8 besar instan banget ya indonesia kayak gitu ngalahin semua timnas di dunia,lihat argentina main bintang butuh biar juara tahun bangun chemistry minta aneh aneh habis masuk pildun masuk 8 instan banget iya indonesia kayak kalah timnas dunia,Negatif
  caranya dengan tidak nonton timnas mas,tonton timnas mas,Negatif
aku sedang melihat opini opini setelah timnas indonesia tampil bagus bagus kok ada yang membangun dan ada juga yang hanya cacian saja hehe namanya opini bebas berpendapat juga toh semua itu ya karena cinta timnas udah jangan lupa sarapan aja deh yah hehe,opini opini timnas indonesia tampil bagus bagus bangun caci he nama opini bebas dapat iya cinta timnas lupa sarap deh iya he,Negatif
   lah sama china dan bahrain kmren hrusnya bisa dapat 4 point mnimal cuman dpat 1 point hmpir musthil timnas masuk 4 besar bisa dicoba lagi kualifikasi pildun 2030 mnding mnangin tu piala aff buat obat fomonya wrga indonesia,china bahrain kemarin 4 point mnimal cuman dpat 1 point musthil timnas masuk 4 coba kualifikasi pildun 2030 mnangin piala aff obat fomonya wrga indonesia,Negatif
  benar lu bang pertandingan yg seharusnya kita menangkan trnyata gagal mencuri poin indo vs cina liat pelatih japan lwan timnas mn pun d grub ini pasti dia memainkan pemain inti nya untuk bermain,abang tanding menang gagal curi poin indonesia vs cina lihat latih japan lwan timnas grub main main inti iya main,Positif
 ada 4 faktor yang sangat menentukan hasil di timnas; skill keberuntungan chemistry antar pemain &amp; nasionalisme. pemain yg mau dinaturalisasi ke timnas indonesia masih kelas dua tiga atau tidak lebih baik dari pemain lokal. mereka cuma menang postur dan nama...!,4 faktor tentu hasil timnas skill untung chemistry main amp nasionalisme main naturalisasi timnas indonesia kelas main lokal menang postur nama,Negatif
ditandai sejak awal jepang main kotor/licik diks dibikin cedera hingga menepi umpan2nya gacor.. erick thohir langsung evaluasi shin tae-yong usai timnas indonesia dihajar 0-4 oleh jepang di stadion gbk: malam ini juga saya akan https://t.co/yxszeu3wy3,tanda jepang main kotorlicik diks bikin cedera tepi umpan2nya gacor erick thohir langsung evaluasi shin taeyong timnas indonesia hajar 04 jepang stadion gbk malam,Negatif
ekspektasi kita yang terlalu tinggi. semalem itu udah bagus lawan kita nomor 15 dunia mereka juga dateng untuk menang bukan untuk kasihan ke kita. permainan timnas kemaren coba suruh lawan mu juga bakal menang. jepang aja yang memang no mercy jauh di atas kita,ekspektasi semalem bagus lawan nomor 15 dunia menang kasihan main timnas kemarin coba suruh lawan mu menang jepang no mercy,Negatif
 pak et udah berusaha segala cara cari pemain yang bisa ikut serta memajukan timnas indo. walaupun pasti ada kurangnya tapi kinerja pak et patut diacungi jempol. tapi lama-lama kinerja sty yang makin lama makin menurun terlalu template,et usaha cari main maju timnas indonesia kurang kerja et patut acung jempol lamalama kerja sty turun template,Positif
    kalah 3-1 atau 4-0 itu same level sebenernya. tapi dari kualitas permainan timnas malem ini jauh lebih baik ketimbang pas di piala asia januari lalu. patokannya bukan skor krn pasti akan kalah lawan jepang. tinggal ada progress permainan gak.,kalah 31 40 same level kualitas main timnas malam ketimbang pas piala asia januari patok skor kalah lawan jepang tinggal progress main,Negatif
in my opinion timnas kita terkendala language barrier. at least sebagai pelatih bisa bahasa inggris sebagai bahasa universal. karena translator belum tentu menyampaikan apa yang diinginkan sty kepada pemain dengan detail. for me #styout,my opinion timnas kendala language barrier at least latih bahasa inggris bahasa universal translator sty main detail for me,Negatif
#eldorshomurodov meninggalkan kamp pelatihan timnas uzbekistan setelah mengalami cedera pangkal paha #shomurodov akan absen selama 3 pekan tulis filippo biafora dari il tempo. [] . #asroma #unicograndeamore #indoroma https://t.co/quuuoeyja8,tinggal kamp latih timnas uzbekistan alami cedera pangkal paha absen 3 pekan tulis filippo biafora il tempo,Negatif
 walaupun timnas kalah tpi kalian lah menang di hati kami,timnas kalah menang hati,Negatif
  layak dibuang? bung sejelekâ²nya sty tapi dia udah berkontribusi baik untuk timnas indonesia lu ga suka sty itu hak pribadi tapi penggunaan kata dibuang itu sangat tidak etis karena masih banyak bahasa lain yg lebih santun,layak buang jelek sty kontribusi timnas indonesia suka sty hak pribadi guna buang etis bahasa santun,Negatif
memang untuk kelas piala dunia kira perlu pelatih kelas dunia juga. erik ten hag salah satunya. siapa tau pemain-pemain keturunan dari eropa yang ditinggal timnas pusat ðÿ‡³ðÿ‡± tidak ragu lagi bermain untuk timnas ðÿ‡®ðÿ‡©. #etfortimnas https://t.co/z8ai6nnyyq,kelas piala dunia latih kelas dunia erik ten hag salah satu pemainpemain turun eropa tinggal timnas pusat ragu main timnas,Negatif
 udah dibilang dari tahun lalu kalau mau gencar naturalisasi dari eropa minimal pelatihnya harus juga dari eropa spya chemistrynya bisa berkembang. skema bagus tanpa chemistry apalagi ini skalanya timnas yg jarang kumpul yah sama saja bohong.,bilang gencar naturalisasi eropa minimal latih eropa spya chemistrynya kembang skema bagus chemistry skala timnas jarang kumpul iya bohong,Negatif
 kalah sama jepun yauda gaksi berasa jepun se lvl ama timnas kita gt?,kalah jepun yauda gaksi asa jepun lvl timnas,Negatif
 setuju kita perlu mengingatkan orang-orang yg sudah ber ekpektasi tinggi ke timnas timnas kita sekarang udah jauh lebih kuat dari sebelum-sebelum nya tapi level kita belum sampe di level dunia kita masih berproses di level asia.,tuju orangorang ber ekpektasi timnas timnas kuat sebelumsebelum iya level level dunia proses level asia,Positif
 nt banget sih timnas kita,banget sih timnas,Positif
 fair aja stop terlalu mendewakan sty okelah kita akuin dia emng pelatih terbaik indo sepanjang sejarah tapi untuk skrng filosofinya gk sesuai sama pemain tipikal eropa cara attacking timnas gada progress w sih berharap pelatih jerman yg bisa nanam identitas pressing&amp;passing game,fair stop dewa sty oke akuin latih baik indonesia sejarah filosofi sesuai main tipikal eropa attacking timnas progress sih harap latih jerman tanam identitas pressingamppassing game,Positif
pusing gue sepagi ini debat sama fans timnas fomo habis,pusing pagi debat fan timnas fomo habis,Netral
timnas ga salah si. ekspektasi kalian aja yg ketinggian. timnas baru bebenah 3 tahun terakhir kok ngarep langsung masuk piala dunia yg jaraknya deket bgt. tapi kalo trend timnas kita begini terus ketum stay lama roadmap nya dijalanin piala dunia 2030 sangat bisa kita tembus,timnas salah sih ekspektasi tinggi timnas bebenah 3 harap langsung masuk piala dunia jarak banget trend timnas tum stay roadmap iya dijalanin piala dunia 2030 tembus,Positif
   ohh brrti nganggur ya 2 bulan nanti timnas tu karena kan desember mah aff ya,oh kerja iya 2 timnas desember mah aff iya,Positif
pas jepang (mungkin) lg cooling down setelah pertandingan disorakin sama satu stadion dan org2 pada mengumpat disaat pemain dan official timnas udh melingkar untuk nyanyi tanah airku woi,pas jepang cooling down tanding disorakin stadion orang umpat saat main official timnas lingkar nyanyi tanah air woi,Negatif
bangun tidur mah ath enak na ngopi sambil udud garfit terus buka tl nu isina ngarambek pedah timnas wkwk,bangun tidur mah enak nya ngopi udud garfit buka tl nu isina ngarambek dah timnas wkwk,Netral
  fun fact selama 2024 timnas senior indo belom pernah menang sekalipun lawan negara luar asean.,fun fact 2024 timnas senior indonesia menang lawan negara asean,Negatif
 knp dinaturalisasi geblek?! ksh tau dari awal sblm naturalisasi kalau ga cocok sm eliano. tujuan dia mau msk timnas kan jadi pemain inti,naturalisasi geblek kasih naturalisasi cocok eliano tuju masuk timnas main inti,Negatif
  agendakan friendly match lawan timnas,agenda friendly match lawan timnas,Netral
mau ujian kof kebayang pembantaian timnas semalem. demn orang gila mana yg h-jam ujian malah nonton bola,uji kof bayang bantai timnas semalem demn orang gila hjam uji tonton bola,Positif
pak ketum  bantu lah nurunin ekspektasi orang2. biar ga beban ke pemain timnas. ga kasian pak ke eliano lututnya lemes. biasa cadangan di zwolle tiba2 disuruh bawa indo ke piala dunia,tum bantu nurunin ekspektasi orang biar beban main timnas kasihan eliano lutut lemes cadang zwolle suruh bawa indonesia piala dunia,Negatif
saatnya sty melatih timnas korea selatan,sty latih timnas korea selatan,Netral
 ekspektasi tinggi tdk diimbangi sm realita kalau secara apapun timnas mmg msh jauh levelnya. timnas baru mulai yg lain udah lari jauh. realistis : peringkat 5 target : 3-4 wajar namanya jg target. kl gak kecapai ya mmg segitu levelnya. blm waktunya..,ekspektasi imbang realita apa timnas level timnas lari realistis peringkat 5 target 34 wajar nama target capa iya segitu level,Negatif
jijik banget sama penyepong sty tiap di kritik langsung bilang mafia . emng sty dewa ga bisa di sentuh ? kalau lu ngikutin tiap laga timnas taktik sty gitu2 aja .. ga ada alesan buat sty ga out !!,jijik banget penyepong sty kritik langsung bilang mafia sty dewa sentuh ikut laga timnas taktik sty begitu-gitu alesan sty out,Negatif
kata shin tae-yong eliano reijnders masih belum cukup untuk membela timnas indonesia bertanding melawan jepang. ini bukan pertama kalinya eliano reijnders dicoret shin tae-yong. https://t.co/1c7f8hjdql,shin taeyong eliano reijnders bela timnas indonesia tanding lawan jepang kali eliano reijnders coret shin taeyong,Positif
   itu juga pilihannya banyak kenapa yg di garis bawahi cuma 0-0 nya doang kocak dan lu kira pemain timnas kita kelas bawah? bodoh kali lu sampe bilang gitu.,pilih garis bawah 00 iya doang kocak main timnas kelas bodoh kali bilang,Negatif
timnas kalah netijing cingkimin rapat parlemen nz netijing cingkimin artis selingkuh netijing cingkimin netijing kih cen cingkimin suoagg!,timnas kalah netijing cingkimin rapat parlemen nz netijing cingkimin artis selingkuh netijing cingkimin netijing kih cen cingkimin suoagg,Negatif
   gua dukung sty untuk memajukan timnas gua selalu dukung timnas tapi ya kita sebagai pemain ke-12 selain ngasih dukungan juga berhak melayangkan kritik dong? dikira sty &amp; pemain keturunan bener terus gabisa dilayangkan kritik juga,dukung sty maju timnas dukung timnas iya main ke12 asih dukung hak layang kritik sty amp main turun layang kritik,Positif
   arhan marceng nathan justin kaga pernah main diclub aja masuk timnas udh aneh bgt wkwkwk ai eliano yg dpt menit main di club g masuk skuad wkwkwk,arhan marceng nathan justin main diclub masuk timnas aneh banget wkwkwk ai eliano menit main club masuk skuad wkwkwk,Positif
saya sejak awal berharap timnas satu grup sekaliber tim2 raja asia. saya ga expect bakal menang. belum saatnya kita masuk pildun. tp pengalaman tanding lawan raja asia bikin mental makin bagus. harusnya jadi ajang cari pengalaman aja menang bonus.,harap timnas grup kaliber tim2 raja asia expect menang masuk pildun alam tanding lawan raja asia bikin mental bagus ajang cari alam menang bonus,Negatif
shin tae-yong ungkapkan alasan eliano reijnders tidak masuk skuad timnas indonesia untuk laga melawan jepang. ini kali kedua sang pemain diabaikan. https://t.co/glrkdrmkmc,shin taeyong ungkap alas eliano reijnders masuk skuad timnas indonesia laga lawan jepang kali sang main abai,Negatif
kemarin apes banget kemarin nabrak di tambah timnas kalah,kemarin sial banget kemarin nabrak timnas kalah,Negatif
 nah makanya itu bro lo liat kevin diks dia di club' pakai 4 bek loh semenjak latih sty ssekali pakai 3 bek malah cedera kan dan gak dimainkan eliano pakai 3 bek formasi 3-5-1 ... gw tanya sama lo 3-5-1 itu bertahan ya ? kalau ketemua timnas kita pakai 3 bek dan timnas 3 bek,saudara laki lihat kevin diks club pakai 4 bek loh semenjak latih sty ssekali pakai 3 bek cedera main eliano pakai 3 bek formasi 351 351 tahan iya tua timnas pakai 3 bek timnas 3 bek,Netral
#kacamatabola edisi timnas indonesia vs jepang. kekalahan 0-4 menyakitkan memang tapi harus diterima sebagai sebuah pembelajaran dan kenyataan. harapan boleh tinggi tapi sadar diri wajib tetap dalam kendali. apa sebenarnya yg terjadi di gelora bung karno semalam?,edisi timnas indonesia vs jepang kalah 04 sakit terima ajar nyata harap sadar wajib kendali gelora karno malam,Negatif
pesan reddoorz lebih hemat diskon 28% dengan kode promo rdaff28off berlaku untuk reddoorz sans hotel urbanview seluruh indonesia timnas kalah polisi main ppn ivan jogja bali bandung jakarta solo bogor malang batu semarang bali makassar palembang purwokerto surabaya bekasi https://t.co/coykro2sr4,pesan reddoorz hemat diskon 28 kode promo rdaff28off laku reddoorz sans hotel urbanview indonesia timnas kalah polisi main ppn ivan jogja bal bandung jakarta solo bogor malang batu semarang bal makassar palembang purwokerto surabaya bekas,Netral
 yang salah itu ekspetasi pendukung timnas,salah ekspetasi dukung timnas,Netral
 betul:( blio udah maksimal soal pemain timnas senior ini,blio maksimal main timnas senior,Netral
 naturalisasi hasil instan . iya itu harapan suporter yg ketinggian. kalau lawan tim asean kita menang karena skill kita di atas mereka. kalau lawan tim kuat kita bakalan kalah secara tim karena kekompakan butuh waktu 2-3 tahun jadi sabar. tetap suport timnas.,naturalisasi hasil instan iya harap suporter tinggi lawan tim asean menang skill lawan tim kuat kalah tim kompak butuh 23 sabar suport timnas,Negatif
   arhan bisa masuk karena faktor x nya yg bisa jadi escape ketika lini serang timnas buntu,arhan masuk faktor kali iya escape lini serang timnas buntu,Negatif
apa konsekuensinya jika pssi fokus membenahi masalah jangka panjang? jawabannya adalah minimnya prestasi untuk  . timnas minim prestasi pelatih disuruh out ketum disuruh mundur pengurus pssi disuruh ganti. sampai kapanpun kalau terus begitu masalah jangka-,konsekuensi pssi fokus benah jangka jawab minim prestasi timnas minim prestasi latih suruh out tum suruh mundur urus pssi suruh ganti jangka,Negatif
wapres menyaksikan pertandingan timnas indonesia melawan jepang https://t.co/fsteyxgqia,wapres saksi tanding timnas indonesia lawan jepang,Positif
 terima kasih timnas indonesia telah berjuang,terima kasih timnas indonesia juang,Positif
salahnya ekspektasi terlalu tinggi untuk timnas yg ranking nya 130 https://t.co/mhktiuftuy,salah ekspektasi timnas ranking iya 130,Negatif
    timnas selalu di hati ðÿ‡³ðÿ‡±ðÿ‡³ðÿ‡±ðÿ‡³ðÿ‡±,timnas hati,Netral
tumben kakak nanya kamu kenapa. maaf kak ini fase after nonton timnas.,tumben kakak maaf kak fase after tonton timnas,Negatif
